Year,Year Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,% of Total Deaths,
2002,2002,Pulmonary embolism without mention of acute cor pulmonale,I26.9,8601,287625193,2.99,0.02%,
2002,2002,"Cerebral infarction, unspecified",I63.9,8492,287625193,2.95,0.02%,
2002,2002,Sequelae of other and unspecified cerebrovascular diseases,I69.8,8444,287625193,2.94,0.02%,
2002,2002,Hypertensive renal disease with renal failure,I12.0,8352,287625193,2.90,0.02%,
2002,2002,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,8264,287625193,2.87,0.02%,
2002,2002,"Gastrointestinal haemorrhage, unspecified",K92.2,7884,287625193,2.74,0.02%,
2002,2002,Alcoholic cirrhosis of liver,K70.3,7693,287625193,2.67,0.02%,
2002,2002,Unspecified fall,W19,7654,287625193,2.66,0.02%,
2002,2002,Acute myeloid leukaemia - Malignant neoplasms,C92.0,7608,287625193,2.65,0.02%,
2002,2002,"Cerebrovascular disease, unspecified",I67.9,7330,287625193,2.55,0.01%,
2002,2002,"Chronic renal failure, unspecified",N18.9,7315,287625193,2.54,0.01%,
2002,2002,"Peripheral vascular disease, unspecified",I73.9,7309,287625193,2.54,0.01%,
2002,2002,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,6861,287625193,2.39,0.01%,
2002,2002,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,6730,287625193,2.34,0.01%,
2002,2002,Exposure to unspecified factor,X59,6550,287625193,2.28,0.01%,
2002,2002,"Intentional self-harm by hanging, strangulation and suffocation",X70,6462,287625193,2.25,0.01%,
2002,2002,Malignant neoplasm of rectum,C20,6340,287625193,2.20,0.01%,
2002,2002,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,6069,287625193,2.11,0.01%,
2002,2002,"Acute renal failure, unspecified",N17.9,5837,287625193,2.03,0.01%,
2002,2002,Liver cell carcinoma - Malignant neoplasms,C22.0,5734,287625193,1.99,0.01%,
2002,2002,Motor neuron disease,G12.2,5723,287625193,1.99,0.01%,
2002,2002,"Subarachnoid haemorrhage, unspecified",I60.9,5640,287625193,1.96,0.01%,
2002,2002,"Vascular disorder of intestine, unspecified",K55.9,5572,287625193,1.94,0.01%,
2002,2002,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,5465,287625193,1.90,0.01%,
2002,2002,"Insulin-dependent diabetes mellitus, without complications",E10.9,5419,287625193,1.88,0.01%,
2002,2002,"Liver, unspecified - Malignant neoplasms",C22.9,5258,287625193,1.83,0.01%,
2002,2002,"Abdominal aortic aneurysm, ruptured",I71.3,5136,287625193,1.79,0.01%,
2002,2002,Dilated cardiomyopathy,I42.0,5041,287625193,1.75,0.01%,
2002,2002,"Endocarditis, valve unspecified",I38,4732,287625193,1.65,0.01%,
2002,2002,Malignant neoplasms of independent (primary) multiple sites,C97,4459,287625193,1.55,0.01%,
2002,2002,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,4443,287625193,1.54,0.01%,
2002,2002,Acute hepatitis C,B17.1,4321,287625193,1.50,0.01%,
2002,2002,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,4320,287625193,1.50,0.01%,
2002,2002,Senility,R54,4269,287625193,1.48,0.01%,
2002,2002,Volume depletion,E86,4250,287625193,1.48,0.01%,
2002,2002,"Cardiovascular disease, unspecified",I51.6,4075,287625193,1.42,0.01%,
2002,2002,Other and unspecified intestinal obstruction,K56.6,4002,287625193,1.39,0.01%,
2002,2002,"Anoxic brain damage, not elsewhere classified",G93.1,3970,287625193,1.38,0.01%,
2002,2002,"Heart failure, unspecified",I50.9,3927,287625193,1.37,0.01%,
2002,2002,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,3920,287625193,1.36,0.01%,
2002,2002,"Hepatic failure, unspecified",K72.9,3718,287625193,1.29,0.01%,
2002,2002,"Asthma, unspecified",J45.9,3712,287625193,1.29,0.01%,
2002,2002,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,3679,287625193,1.28,0.01%,
2002,2002,"Malignant neoplasm of uterus, part unspecified",C55,3666,287625193,1.27,0.01%,
2002,2002,Intentional self-harm by handgun discharge,X72,3597,287625193,1.25,0.01%,
2002,2002,"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,3594,287625193,1.25,0.01%,
2002,2002,Other specified chronic obstructive pulmonary disease,J44.8,3569,287625193,1.24,0.01%,
2002,2002,Primary pulmonary hypertension,I27.0,3549,287625193,1.23,0.01%,
2002,2002,"Hyperlipidaemia, unspecified",E78.5,3470,287625193,1.21,0.01%,
2002,2002,Extreme immaturity,P07.2,3466,287625193,1.21,0.01%,
2002,2002,"Larynx, unspecified - Malignant neoplasms",C32.9,3464,287625193,1.20,0.01%,
2002,2002,Person injured in collision between other specified motor vehicles (traffic),V87.7,3447,287625193,1.20,0.01%,
2002,2002,Dissection of aorta [any part],I71.0,3429,287625193,1.19,0.01%,
2002,2002,Other fall on same level,W18,3405,287625193,1.18,0.01%,
2002,2002,Endometrium - Malignant neoplasms,C54.1,3159,287625193,1.10,0.01%,
2002,2002,HIV disease resulting in other specified conditions,B23.8,3150,287625193,1.10,0.01%,
2002,2002,Multiple sclerosis,G35,3124,287625193,1.09,0.01%,
2002,2002,Acute vascular disorders of intestine,K55.0,3123,287625193,1.09,0.01%,
2002,2002,"Heart disease, unspecified",I51.9,3093,287625193,1.08,0.01%,
2002,2002,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,3078,287625193,1.07,0.01%,
2002,2002,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,2999,287625193,1.04,0.01%,
2002,2002,Other disorders of lung,J98.4,2971,287625193,1.03,0.01%,
2002,2002,Acute pancreatitis,K85,2970,287625193,1.03,0.01%,
2002,2002,"Respiratory failure, unspecified",J96.9,2945,287625193,1.02,0.01%,
2002,2002,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,2940,287625193,1.02,0.01%,
2002,2002,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,2908,287625193,1.01,0.01%,
2002,2002,Unspecified protein-energy malnutrition,E46,2835,287625193,0.99,0.01%,
2002,2002,"Sudden cardiac death, so described",I46.1,2830,287625193,0.98,0.01%,
2002,2002,Unspecified human immunodeficiency virus [HIV] disease,B24,2810,287625193,0.98,0.01%,
2002,2002,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,I80.2,2809,287625193,0.98,0.01%,
2002,2002,Other forms of acute ischaemic heart disease,I24.8,2714,287625193,0.94,0.01%,
2002,2002,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,2628,287625193,0.91,0.01%,
2002,2002,"Leukaemia, unspecified - Malignant neoplasms",C95.9,2541,287625193,0.88,0.01%,
2002,2002,Exposure to uncontrolled fire in building or structure,X00,2533,287625193,0.88,0.01%,
2002,2002,"Brain, unspecified - Uncertain neoplasms",D43.2,2502,287625193,0.87,0.01%,
2002,2002,"Liver disease, unspecified",K76.9,2474,287625193,0.86,0.00%,
2002,2002,"Rheumatoid arthritis, unspecified",M06.9,2464,287625193,0.86,0.00%,
2002,2002,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",V47.5,2443,287625193,0.85,0.00%,
2002,2002,Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,2416,287625193,0.84,0.00%,
2002,2002,"Anaemia, unspecified",D64.9,2402,287625193,0.84,0.00%,
2002,2002,Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,2370,287625193,0.82,0.00%,
2002,2002,Sudden infant death syndrome - SIDS,R95,2295,287625193,0.80,0.00%,
2002,2002,Mitral (valve) insufficiency,I34.0,2289,287625193,0.80,0.00%,
2002,2002,Malignant neoplasm of rectosigmoid junction,C19,2276,287625193,0.79,0.00%,
2002,2002,Alzheimer disease with late onset,G30.1,2237,287625193,0.78,0.00%,
2002,2002,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,2231,287625193,0.78,0.00%,
2002,2002,Enterocolitis due to Clostridium difficile,A04.7,2195,287625193,0.76,0.00%,
2002,2002,Other obesity,E66.8,2182,287625193,0.76,0.00%,
2002,2002,"Abdominal aortic aneurysm, without mention of rupture",I71.4,2176,287625193,0.76,0.00%,
2002,2002,Assault by sharp object,X99,2074,287625193,0.72,0.00%,
2002,2002,"Head, face and neck - Malignant neoplasms",C76.0,2030,287625193,0.71,0.00%,
2002,2002,"Interstitial pulmonary disease, unspecified",J84.9,2001,287625193,0.70,0.00%,
2002,2002,Adult respiratory distress syndrome,J80,1999,287625193,0.70,0.00%,
2002,2002,Respiratory arrest,R09.2,1980,287625193,0.69,0.00%,
2002,2002,"Bacterial pneumonia, unspecified",J15.9,1935,287625193,0.67,0.00%,
2002,2002,"Alcoholic liver disease, unspecified",K70.9,1933,287625193,0.67,0.00%,
2002,2002,Malignant neoplasm of gallbladder,C23,1907,287625193,0.66,0.00%,
2002,2002,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,1904,287625193,0.66,0.00%,
2002,2002,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,1811,287625193,0.63,0.00%,
2002,2002,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",Y12,1810,287625193,0.63,0.00%,
2002,2002,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,1789,287625193,0.62,0.00%,
2002,2002,"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident",V43.6,1778,287625193,0.62,0.00%,
2002,2002,"Tongue, unspecified - Malignant neoplasms",C02.9,1756,287625193,0.61,0.00%,
2002,2002,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,1741,287625193,0.61,0.00%,
2002,2002,Other lack of expected normal physiological development,R62.8,1739,287625193,0.60,0.00%,
2002,2002,"Car occupant injured in noncollision transport accident, driver injured in traffic accident",V48.5,1726,287625193,0.60,0.00%,
2002,2002,Perforation of intestine (nontraumatic),K63.1,1705,287625193,0.59,0.00%,
2002,2002,"Bronchopneumonia, unspecified",J18.0,1701,287625193,0.59,0.00%,
2002,2002,Decubitus ulcer,L89,1671,287625193,0.58,0.00%,
2002,2002,Pure hypercholesterolaemia,E78.0,1660,287625193,0.58,0.00%,
2002,2002,Other forms of chronic ischaemic heart disease,I25.8,1658,287625193,0.58,0.00%,
2002,2002,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,1658,287625193,0.58,0.00%,
2002,2002,Subdural haemorrhage (acute)(nontraumatic),I62.0,1638,287625193,0.57,0.00%,
2002,2002,"Unspecified diabetes mellitus, with ketoacidosis",E14.1,1631,287625193,0.57,0.00%,
2002,2002,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,1629,287625193,0.57,0.00%,
2002,2002,"Lobar pneumonia, unspecified",J18.1,1601,287625193,0.56,0.00%,
2002,2002,Fall on and from stairs and steps,W10,1598,287625193,0.56,0.00%,
2002,2002,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,1586,287625193,0.55,0.00%,
2002,2002,"Pharynx, unspecified - Malignant neoplasms",C14.0,1558,287625193,0.54,0.00%,
2002,2002,"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,1551,287625193,0.54,0.00%,
2002,2002,"Hypothyroidism, unspecified",E03.9,1534,287625193,0.53,0.00%,
2002,2002,Assault by unspecified means,Y09,1533,287625193,0.53,0.00%,
2002,2002,"Diverticular disease of intestine, part unspecified, without perforation or abscess",K57.9,1497,287625193,0.52,0.00%,
2002,2002,"Noninfective gastroenteritis and colitis, unspecified",K52.9,1485,287625193,0.52,0.00%,
2002,2002,Cardiomegaly,I51.7,1480,287625193,0.51,0.00%,
2002,2002,"Aortic aneurysm of unspecified site, ruptured",I71.8,1474,287625193,0.51,0.00%,
2002,2002,Car occupant [any] injured in unspecified traffic accident,V49.9,1450,287625193,0.50,0.00%,
2002,2002,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,1432,287625193,0.50,0.00%,
2002,2002,Alcoholic hepatic failure,K70.4,1431,287625193,0.50,0.00%,
2002,2002,"Aortic valve disorder, unspecified",I35.9,1427,287625193,0.50,0.00%,
2002,2002,Intentional self-poisoning by and exposure to other gases and vapours,X67,1419,287625193,0.49,0.00%,
2002,2002,Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,1414,287625193,0.49,0.00%,
2002,2002,Malignant neoplasm of thyroid gland,C73,1367,287625193,0.48,0.00%,
2002,2002,Chronic myeloid leukaemia - Malignant neoplasms,C92.1,1367,287625193,0.48,0.00%,
2002,2002,HIV disease resulting in multiple infections,B20.7,1366,287625193,0.47,0.00%,
2002,2002,Non-Hodgkin lymphoma large cell (diffuse),C83.3,1347,287625193,0.47,0.00%,
2002,2002,"Obesity, unspecified",E66.9,1343,287625193,0.47,0.00%,
2002,2002,"Pulmonary heart disease, unspecified",I27.9,1332,287625193,0.46,0.00%,
2002,2002,"Hodgkin disease, unspecified",C81.9,1327,287625193,0.46,0.00%,
2002,2002,"Diverticular disease of intestine, part unspecified, with perforation and abscess",K57.8,1296,287625193,0.45,0.00%,
2002,2002,Ventricular fibrillation and flutter,I49.0,1264,287625193,0.44,0.00%,
2002,2002,HIV disease resulting in other infectious and parasitic diseases,B20.8,1251,287625193,0.43,0.00%,
2002,2002,Pneumonia due to staphylococcus,J15.2,1250,287625193,0.43,0.00%,
2002,2002,"Congenital malformation of heart, unspecified",Q24.9,1230,287625193,0.43,0.00%,
2002,2002,Cerebral atherosclerosis,I67.2,1222,287625193,0.42,0.00%,
2002,2002,"Unspecified diabetes mellitus, with renal complications",E14.2,1219,287625193,0.42,0.00%,
2002,2002,Other and unspecified convulsions,R56.8,1214,287625193,0.42,0.00%,
2002,2002,Other hypertrophic cardiomyopathy,I42.2,1201,287625193,0.42,0.00%,
2002,2002,Systemic lupus erythematosus with organ or system involvement,M32.1,1169,287625193,0.41,0.00%,
2002,2002,Hypertensive heart and renal disease with renal failure,I13.1,1149,287625193,0.40,0.00%,
2002,2002,"Infantile cerebral palsy, unspecified",G80.9,1134,287625193,0.39,0.00%,
2002,2002,Acute and subacute infective endocarditis,I33.0,1119,287625193,0.39,0.00%,
2002,2002,Other specified cerebrovascular diseases,I67.8,1115,287625193,0.39,0.00%,
2002,2002,"Osteomyelitis, unspecified",M86.9,1115,287625193,0.39,0.00%,
2002,2002,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,1094,287625193,0.38,0.00%,
2002,2002,HIV disease resulting in other bacterial infections,B20.1,1091,287625193,0.38,0.00%,
2002,2002,"Mitral valve disease, unspecified",I05.9,1088,287625193,0.38,0.00%,
2002,2002,Other preterm infants,P07.3,1088,287625193,0.38,0.00%,
2002,2002,Drowning and submersion while in natural water,W69,1082,287625193,0.38,0.00%,
2002,2002,Sequelae of viral hepatitis,B94.2,1065,287625193,0.37,0.00%,
2002,2002,"Osteoporosis, unspecified",M81.9,1059,287625193,0.37,0.00%,
2002,2002,Skin of scalp and neck - Malignant neoplasms,C44.4,1046,287625193,0.36,0.00%,
2002,2002,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,1024,287625193,0.36,0.00%,
2002,2002,Assault by handgun discharge,X93,1024,287625193,0.36,0.00%,
2002,2002,"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident",V47.6,1012,287625193,0.35,0.00%,
2002,2002,Sequelae of other accidents,Y86,1007,287625193,0.35,0.00%,
2002,2002,HIV disease resulting in multiple diseases classified elsewhere,B22.7,979,287625193,0.34,0.00%,
2002,2002,Bronchiectasis,J47,978,287625193,0.34,0.00%,
2002,2002,"Pleural effusion, not elsewhere classified",J90,966,287625193,0.34,0.00%,
2002,2002,Acidosis,E87.2,950,287625193,0.33,0.00%,
2002,2002,"Thoracic aortic aneurysm, ruptured",I71.1,949,287625193,0.33,0.00%,
2002,2002,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,948,287625193,0.33,0.00%,
2002,2002,"Peritonitis, unspecified",K65.9,948,287625193,0.33,0.00%,
2002,2002,"Coagulation defect, unspecified",D68.9,943,287625193,0.33,0.00%,
2002,2002,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,929,287625193,0.32,0.00%,
2002,2002,"Degenerative disease of nervous system, unspecified",G31.9,925,287625193,0.32,0.00%,
2002,2002,"Aplastic anaemia, unspecified",D61.9,910,287625193,0.32,0.00%,
2002,2002,"Arthrosis, unspecified",M19.9,892,287625193,0.31,0.00%,
2002,2002,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,887,287625193,0.31,0.00%,
2002,2002,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,880,287625193,0.31,0.00%,
2002,2002,"Mouth, unspecified - Malignant neoplasms",C06.9,876,287625193,0.30,0.00%,
2002,2002,Respiratory distress syndrome of newborn,P22.0,870,287625193,0.30,0.00%,
2002,2002,Septicaemia due to Staphylococcus aureus,A41.0,866,287625193,0.30,0.00%,
2002,2002,Abdomen - Malignant neoplasms,C76.2,863,287625193,0.30,0.00%,
2002,2002,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,853,287625193,0.30,0.00%,
2002,2002,Alcoholic hepatitis,K70.1,850,287625193,0.30,0.00%,
2002,2002,"Car occupant injured in noncollision transport accident, passenger injured in traffic accident",V48.6,841,287625193,0.29,0.00%,
2002,2002,Sequelae of cerebral infarction,I69.3,834,287625193,0.29,0.00%,
2002,2002,"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident",V44.5,834,287625193,0.29,0.00%,
2002,2002,"Down syndrome, unspecified",Q90.9,833,287625193,0.29,0.00%,
2002,2002,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,827,287625193,0.29,0.00%,
2002,2002,"Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage",K27.4,823,287625193,0.29,0.00%,
2002,2002,Unspecified drowning and submersion,W74,822,287625193,0.29,0.00%,
2002,2002,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,819,287625193,0.28,0.00%,
2002,2002,Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,C79.3,808,287625193,0.28,0.00%,
2002,2002,"Encephalopathy, unspecified",G93.4,807,287625193,0.28,0.00%,
2002,2002,HIV disease resulting in other viral infections,B20.3,801,287625193,0.28,0.00%,
2002,2002,Acute cholecystitis,K81.0,791,287625193,0.28,0.00%,
2002,2002,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident",V57.5,789,287625193,0.27,0.00%,
2002,2002,Septicaemia due to other Gram-negative organisms,A41.5,787,287625193,0.27,0.00%,
2002,2002,"Insulin-dependent diabetes mellitus, with peripheral circulatory complications",E10.5,785,287625193,0.27,0.00%,
2002,2002,"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident",V58.5,785,287625193,0.27,0.00%,
2002,2002,Unspecified osteoporosis with pathological fracture,M80.9,783,287625193,0.27,0.00%,
2002,2002,"Vulva, unspecified - Malignant neoplasms",C51.9,780,287625193,0.27,0.00%,
2002,2002,"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",V23.4,774,287625193,0.27,0.00%,
2002,2002,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,769,287625193,0.27,0.00%,
2002,2002,Newborn affected by premature rupture of membranes,P01.1,766,287625193,0.27,0.00%,
2002,2002,"Intracerebral haemorrhage, intraventricular",I61.5,764,287625193,0.27,0.00%,
2002,2002,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver injured in traffic accident",V53.5,752,287625193,0.26,0.00%,
2002,2002,"Assault by rifle, shotgun and larger firearm discharge",X94,744,287625193,0.26,0.00%,
2002,2002,Huntington disease,G10,741,287625193,0.26,0.00%,
2002,2002,Intentional self-harm by jumping from a high place,X80,740,287625193,0.26,0.00%,
2002,2002,Intracerebral haemorrhage in brain stem,I61.3,736,287625193,0.26,0.00%,
2002,2002,"Struck by thrown, projected or falling object",W20,721,287625193,0.25,0.00%,
2002,2002,"Cholecystitis, unspecified",K81.9,715,287625193,0.25,0.00%,
2002,2002,"Surgical procedure, unspecified",Y83.9,713,287625193,0.25,0.00%,
2002,2002,Muscular dystrophy,G71.0,703,287625193,0.24,0.00%,
2002,2002,Septicaemia due to unspecified staphylococcus,A41.2,702,287625193,0.24,0.00%,
2002,2002,Other ill-defined heart diseases,I51.8,700,287625193,0.24,0.00%,
2002,2002,Extrahepatic bile duct - Malignant neoplasms,C24.0,697,287625193,0.24,0.00%,
2002,2002,"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,692,287625193,0.24,0.00%,
2002,2002,"Acute ischaemic heart disease, unspecified",I24.9,690,287625193,0.24,0.00%,
2002,2002,"Assault by hanging, strangulation and suffocation",X91,679,287625193,0.24,0.00%,
2002,2002,Cardia - Malignant neoplasms,C16.0,677,287625193,0.24,0.00%,
2002,2002,"Epilepsy, unspecified",G40.9,664,287625193,0.23,0.00%,
2002,2002,"Duodenal ulcer, chronic or unspecified with perforation",K26.5,657,287625193,0.23,0.00%,
2002,2002,"Thoracic aortic aneurysm, without mention of rupture",I71.2,654,287625193,0.23,0.00%,
2002,2002,"Depressive episode, unspecified",F32.9,653,287625193,0.23,0.00%,
2002,2002,"Other disorders of electrolyte and fluid balance, not elsewhere classified",E87.8,652,287625193,0.23,0.00%,
2002,2002,"Sarcoidosis, unspecified",D86.9,647,287625193,0.22,0.00%,
2002,2002,"Fall on same level from slipping, tripping and stumbling",W01,646,287625193,0.22,0.00%,
2002,2002,Exposure to excessive natural cold,X31,646,287625193,0.22,0.00%,
2002,2002,Accidental poisoning by and exposure to other gases and vapours,X47,640,287625193,0.22,0.00%,
2002,2002,Mitral stenosis,I05.0,639,287625193,0.22,0.00%,
2002,2002,Gastro-oesophageal reflux disease without oesophagitis,K21.9,636,287625193,0.22,0.00%,
2002,2002,Calculus of gallbladder without cholecystitis,K80.2,632,287625193,0.22,0.00%,
2002,2002,Cerebral infarction due to embolism of cerebral arteries,I63.4,631,287625193,0.22,0.00%,
2002,2002,Pulmonary oedema,J81,626,287625193,0.22,0.00%,
2002,2002,Acute hepatitis B without delta-agent and without hepatic coma,B16.9,624,287625193,0.22,0.00%,
2002,2002,"Biliary tract, unspecified - Malignant neoplasms",C24.9,622,287625193,0.22,0.00%,
2002,2002,Cholangitis,K83.0,621,287625193,0.22,0.00%,
2002,2002,"Nasopharynx, unspecified - Malignant neoplasms",C11.9,617,287625193,0.21,0.00%,
2002,2002,"Mental and behavioural disorders due to use of alcohol, acute intoxication",F10.0,617,287625193,0.21,0.00%,
2002,2002,Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,616,287625193,0.21,0.00%,
2002,2002,Other forms of systemic sclerosis,M34.8,615,287625193,0.21,0.00%,
2002,2002,"Tonsil, unspecified - Malignant neoplasms",C09.9,614,287625193,0.21,0.00%,
